,1090,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1091,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1092,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1093,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1094,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1095,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1096,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1097,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1098,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1099,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1101,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1102,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1103,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1104,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1105,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1106,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1107,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1108,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1109,Weird oscilloscope pattern,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
